1,55,30,4,34
2,52,32,4,34
3,52,32,9,35
4,52,32,4,34
5,52,32,4,34
6,52,35,6,36
7,52,32,18,36
8,55,30,15,35
9,55,30,9,35
10,55,30,4,34
11,55,30,4,34
12,55,30,4,34
13,52,35,6,36
14,52,35,6,36
15,57,32,6,36
16,59,30,6,35
17,59,30,6,35
18,59,30,6,35
19,57,27,9,33
20,57,27,9,33
21,57,27,9,33
22,57,32,6,36
23,57,32,6,36
24,52,32,9,35
25,55,30,9,35
26,57,27,4,33
27,55,30,4,34
28,52,32,4,34
29,57,32,6,36
30,59,30,4,35
31,55,30,4,34
32,55,30,4,34
33,57,32,6,36
34,57,32,6,36
35,59,30,6,35
36,64,27,9,36
37,59,30,6,35
38,52,35,6,36
39,55,35,6,37
40,57,32,6,36
41,59,30,6,35
42,59,30,6,35
43,59,30,6,35
44,59,30,6,35
45,59,30,6,35
46,59,35,9,39
47,59,30,24,37
48,59,35,9,39
49,57,32,6,36
50,55,40,6,40
51,59,40,12,42
52,62,38,6,41
53,59,40,2,41
54,59,40,6,41
55,62,38,12,42
56,59,40,6,41
57,57,38,4,39
58,59,35,9,39
59,57,38,18,41
60,57,43,9,43
61,59,40,12,42
62,62,38,12,42
63,62,32,15,39
64,59,35,9,39
65,57,38,4,39
66,55,35,12,38
67,55,35,15,38
68,59,30,12,36
69,55,35,6,37
70,57,32,6,36
71,55,35,6,37
72,55,35,6,37
73,57,32,6,36
74,55,35,6,37
75,55,35,6,37
76,59,30,6,35
77,57,32,6,36
78,62,32,6,38
79,62,32,6,38
80,59,40,6,41
81,62,32,15,39
82,62,32,9,38
83,62,32,6,38
84,62,32,9,38
85,66,30,18,39
86,66,32,9,39
87,64,32,4,38
88,66,30,12,38
89,66,32,21,40
90,66,35,6,40
91,64,35,4,40
92,64,32,4,38
93,62,32,6,38
94,59,35,4,38
95,64,35,4,40
96,66,35,4,40
97,64,35,4,40
98,59,40,2,41
99,59,35,4,38
100,66,32,9,39
101,62,32,15,39
102,57,38,9,40
103,59,35,4,38
104,64,38,1,41
105,66,35,1,40
106,66,35,4,40
107,66,32,15,40
108,62,32,15,39
109,66,30,18,39
110,66,30,12,38
111,62,32,6,38
112,55,40,6,40
113,62,38,12,42
114,62,38,12,42
115,62,38,12,42
116,66,38,6,42
117,66,38,2,42
118,66,38,6,42
119,66,38,12,43
120,66,38,12,43
121,71,38,15,45
122,71,40,9,45
123,71,40,9,45
124,71,40,9,45
125,71,40,9,45
126,71,43,6,47
127,71,40,12,46
128,75,40,12,47
129,71,43,12,47
130,71,43,12,47
131,71,43,12,47
132,71,40,12,46
133,73,38,15,45
134,75,32,18,43
135,71,38,15,45
136,64,40,9,43
137,66,38,12,43
138,64,35,12,41
139,68,35,12,42
140,68,35,12,42
141,64,35,18,41
142,57,43,9,43
143,62,38,12,42
144,66,30,18,39
145,66,32,21,40
146,66,38,6,42
147,64,35,1,39
148,59,35,4,38
149,62,38,12,42
150,62,32,9,38
151,62,32,6,38
152,62,32,6,38
153,62,32,6,38
154,62,32,6,38
155,57,32,6,36
156,59,30,6,35
157,57,32,6,36
158,57,32,6,36
159,57,32,6,36
160,59,30,12,36
161,57,32,18,37
162,55,35,12,38
163,55,35,6,37
164,59,30,6,35
165,57,32,6,36
166,62,32,6,38
167,57,38,4,39
168,55,40,6,40
169,59,35,15,39
170,59,30,12,36
