,,,-0.1107,0.0828,,1.78E-04,4.41E+07,,8.28E-04
,,,-0.1106,0.0824,,1.80E-04,4.47E+07,,8.24E-04
,,,-0.1105,0.0824,,1.83E-04,4.53E+07,,8.24E-04
,,,-0.1104,0.0808,,1.85E-04,4.60E+07,,8.08E-04
,,,-0.1103,0.0812,,1.88E-04,4.66E+07,,8.12E-04
,,,-0.1102,0.0816,,1.90E-04,4.72E+07,,8.16E-04
,,,-0.1101,0.0816,,1.93E-04,4.78E+07,,8.16E-04
,,,-0.11,0.0812,,1.95E-04,4.84E+07,,8.12E-04
,,,-0.1099,0.0824,,1.98E-04,4.91E+07,,8.24E-04
,,,-0.1098,0.0816,,2.00E-04,4.97E+07,,8.16E-04
,,,-0.1097,0.0824,,2.03E-04,5.03E+07,,8.24E-04
,,,-0.1096,0.0824,,2.05E-04,5.09E+07,,8.24E-04
,,,-0.1095,0.0812,,2.08E-04,5.16E+07,,8.12E-04
,,,-0.1094,0.082,,2.10E-04,5.22E+07,,8.20E-04
,,,-0.1093,0.0824,,2.13E-04,5.28E+07,,8.24E-04
,,,-0.1092,0.0824,,2.15E-04,5.34E+07,,8.24E-04
,,,-0.1091,0.082,,2.18E-04,5.40E+07,,8.20E-04
,,,-0.109,0.082,,2.20E-04,5.47E+07,,8.20E-04
,,,-0.1089,0.0824,,2.23E-04,5.53E+07,,8.24E-04
,,,-0.1088,0.0824,,2.25E-04,5.59E+07,,8.24E-04
,,,-0.1087,0.0824,,2.28E-04,5.65E+07,,8.24E-04
,,,-0.1086,0.0816,,2.30E-04,5.71E+07,,8.16E-04
,,,-0.1085,0.082,,2.33E-04,5.78E+07,,8.20E-04
,,,-0.1084,0.082,,2.35E-04,5.84E+07,,8.20E-04
,,,-0.1083,0.082,,2.38E-04,5.90E+07,,8.20E-04
,,,-0.1082,0.0824,,2.40E-04,5.96E+07,,8.24E-04
,,,-0.1081,0.0812,,2.43E-04,6.03E+07,,8.12E-04
,,,-0.108,0.0832,,2.45E-04,6.09E+07,,8.32E-04
