,"measured value, xi",y,"deviation, di=xi-x","deviation squared, (di)^2",fit,(y-fit)^2
,310,,10,100,249.5822752,62291.31209
,311,218,11,121,249.4946417,991.9124559
,312,,12,144,249.3986975,62199.7103
,313,220,13,169,249.2944521,858.164924
,314,,14,196,249.1819161,62091.62729
,315,220,15,225,249.0611006,844.5475669
,316,,16,256,248.9320178,61967.14948
,317,222,17,289,248.7946806,717.954907
,318,,18,324,248.6491027,61826.37627
,319,224,19,361,248.4952987,600.0196586
,320,,20,400,248.333284,61669.41993
,321,222,21,441,248.1630747,684.5064769
,322,,22,484,247.9846878,61496.4054
,323,222,23,529,247.7981412,665.5440918
,324,,24,576,247.6034535,61307.47019
,325,222,25,625,247.4006441,645.1927189
,326,,26,676,247.1897331,61102.76415
,327,224,27,729,246.9707416,527.6549712
,328,,28,784,246.7436915,60882.44928
,329,222,29,841,246.5086052,600.6717281
,330,,30,900,246.2655062,60646.69953
,331,219,31,961,246.0144186,729.7788104
,332,,32,1024,245.7553673,60395.70056
,333,222,33,1089,245.4883781,551.7039063
,334,,34,1156,245.2134774,60129.64952
,335,226,35,1225,244.9306925,358.3711197
,336,,36,1296,244.6400514,59848.75474
,337,226,37,1369,244.3415827,336.4136577
,338,,38,1444,244.0353161,59553.23552
,339,226,39,1521,243.7212818,314.0438276
,340,,40,1600,243.3995107,59243.32179
,341,226,41,1681,243.0700345,291.3860791
,342,,42,1764,242.7328858,58919.25387
,343,225,43,1849,242.3880977,302.3459432
,344,,44,1936,242.0357042,58581.28209
,345,228,45,2025,241.6757397,187.0258561
,346,,46,2116,241.3082397,58229.66653
,347,230,47,2209,240.9332401,119.5357389
,348,,48,2304,240.5507777,57864.67665
,349,231,49,2401,240.1608899,83.92190373
,350,,50,2500,239.7636148,57486.59097
,351,232,51,2601,239.3589911,54.15475025
,352,,52,2704,238.9470584,57095.69669
,353,230,53,2809,238.5278566,72.72433812
,354,,54,2916,238.1014266,56692.28936
,355,229,55,3025,237.6678098,75.13092738
,356,,56,3136,237.2270483,56276.67246
,357,228,57,3249,236.7791848,77.07408538
,358,,58,3364,236.3242625,55849.15707
,359,228,59,3481,235.8623256,61.81616351
,360,,60,3600,235.3934185,55410.06146
,361,229,61,3721,234.9175864,35.01782876
,362,,62,3844,234.4348752,54959.71069
,363,229,63,3969,233.9453312,24.45630032
,364,,64,4096,233.4490014,54498.43624
,365,226,65,4225,232.9459333,48.24599007
,366,,66,4356,232.4361752,54026.57556
,367,224,67,4489,231.9197757,62.72284743
,368,,68,4624,231.3967841,53544.47168
,369,226,69,4761,230.8672501,23.69012352
,370,,70,4900,230.3312242,53052.47282
,371,227,71,5041,229.7887571,7.777166271
,372,,72,5184,229.2399004,52550.93194
,373,228,73,5329,228.684706,0.468822255
,374,,74,5476,228.1232262,52040.20634
,375,228,75,5625,227.5555141,0.197567711
,376,,76,5776,226.9816231,51520.65722
,377,229,77,5929,226.4016071,6.751645898
,378,,78,6084,225.8155204,50992.64927
,379,229,79,6241,225.2234181,14.26257097
,380,,80,6400,224.6253553,50456.55026
,381,227,81,6561,224.021388,8.872129695
,382,,82,6724,223.4115722,49912.73059
,383,224,83,6889,222.7959647,1.449701088
,384,,84,7056,222.1746225,49361.56287
,385,226,85,7225,221.5476031,19.82383788
,386,,86,7396,220.9149645,48803.42155
,387,227,87,7569,220.2767649,45.20188958
,388,,88,7744,219.6330631,48238.68241
,389,226,89,7921,218.9839181,49.22540551
,390,,90,8100,218.3293893,47667.72223
,391,224,91,8281,217.6695366,40.07476701
,392,,92,8464,217.0044201,47090.91834
,393,224,93,8649,216.3341003,58.7660177
,394,,94,8836,215.6586381,46508.64821
,395,223,95,9025,214.9780947,64.35096482
,396,,96,9216,214.2925315,45921.28904
,397,224,97,9409,213.6020102,108.1181909
,398,,98,9604,212.9065931,45329.2174
,399,224,99,9801,212.2063425,139.0903565
,400,,100,10000,211.5013211,44732.80881
,401,224,101,10201,210.7915917,174.4620504
,402,,102,10404,210.0772176,44132.43734
,403,222,103,10609,209.3582622,159.8135353
,404,,104,10816,208.6347892,43528.47526
,405,222,105,11025,207.9068625,198.6165237
,406,,106,11236,207.1745463,42921.29265
,407,220,107,11449,206.437905,183.9304209
,408,,108,11664,205.697003,42311.25706
,409,222,109,11881,204.9519053,290.6375345
,410,,110,12100,204.2026766,41698.73312
,411,222,111,12321,203.4493821,344.1254234
,412,,112,12544,202.6920872,41084.08222
,413,221,113,12769,201.9308573,363.6322041
,414,,114,12996,201.1657579,40467.66216
,415,219,115,13225,200.3968549,346.0770073
,416,,116,13456,199.6242141,39849.82685
,417,217,117,13689,198.8479015,329.4986817
,418,,118,13924,198.0679831,39230.92594
,419,215,119,14161,197.2845253,313.838044
,420,,120,14400,196.4975943,38611.30456
,421,218,121,14641,195.7072565,496.966414
,422,,122,14884,194.9135783,37991.30301
,423,221,123,15129,194.1166264,722.7157784
,424,,124,15376,193.3164672,37371.25648
,425,219,125,15625,192.5131674,701.5523015
,426,,126,15876,191.7067937,36751.49475
,427,216,127,16129,190.8974128,630.139885
,428,,128,16384,190.0850914,36132.34196
,429,214,129,16641,189.2698962,611.5780339
,430,,130,16900,188.451894,35514.11635
,431,211,131,17161,187.6311515,546.1030796
