channel 1,-0.05,6.68,channel 2,-0.05,0.1648,time to ramp up,0,6.5152,frequency,0,x-axis;K
,-0.04996,6.68,,-0.04996,0.164,0.1,4E-05,6.516,,1575600,y-axis:I
,-0.04992,6.68,,-0.04992,0.164,,8E-05,6.516,,3151200,
,-0.04988,6.68,,-0.04988,0.164,,0.00012,6.516,,4726800,
,-0.04984,6.68,,-0.04984,0.164,,0.00016,6.516,,6302400,
,-0.0498,6.68,,-0.0498,0.164,,0.0002,6.516,,7878000,
,-0.04976,6.68,,-0.04976,0.164,,0.00024,6.516,,9453600,
,-0.04972,6.64,,-0.04972,0.164,,0.00028,6.476,,11029200,
,-0.04968,6.68,,-0.04968,0.164,,0.00032,6.516,,12604800,
,-0.04964,6.68,,-0.04964,0.164,,0.00036,6.516,,14180400,
,-0.0496,6.64,,-0.0496,0.1632,,0.0004,6.4768,,15756000,
,-0.04956,6.68,,-0.04956,0.164,,0.00044,6.516,,17331600,
,-0.04952,6.68,,-0.04952,0.164,,0.00048,6.516,,18907200,
,-0.04948,6.68,,-0.04948,0.164,,0.00052,6.516,,20482800,
,-0.04944,6.68,,-0.04944,0.1632,,0.00056,6.5168,,22058400,
,-0.0494,6.68,,-0.0494,0.164,,0.0006,6.516,,23634000,
,-0.04936,6.68,,-0.04936,0.164,,0.00064,6.516,,25209600,
,-0.04932,6.68,,-0.04932,0.164,,0.00068,6.516,,26785200,
,-0.04928,6.68,,-0.04928,0.164,,0.00072,6.516,,28360800,
,-0.04924,6.68,,-0.04924,0.1632,,0.00076,6.5168,,29936400,
,-0.0492,6.72,,-0.0492,0.164,,0.0008,6.556,,31512000,
,-0.04916,6.68,,-0.04916,0.164,,0.00084,6.516,,33087600,
,-0.04912,6.68,,-0.04912,0.1632,,0.00088,6.5168,,34663200,
,-0.04908,6.68,,-0.04908,0.164,,0.00092,6.516,,36238800,
,-0.04904,6.68,,-0.04904,0.1632,,0.00096,6.5168,,37814400,
